cust_id,DOB,Gender,city_code,cluster,recency,frequency,monetary,R,F,M,Avg_M
266783,01-05-1974,M,4,0,457.0,5,14791.53,3.0,3,3,12095.5816
266784,13-12-1991,F,10,1,815.0,3,5694.07,2.0,1,2,4884.636892655367
266785,29-06-1985,F,3,0,694.0,8,35271.6,2.0,4,4,19073.41199367089
266788,20-03-1972,F,2,3,366.0,4,6092.97,4.0,2,2,8503.386485355648
266794,28-02-1971,F,9,2,1.0,12,28253.75,4.0,4,4,18744.19980232558
266799,16-03-1970,F,5,1,93.0,4,9958.26,4.0,2,3,8503.386485355648
266803,23-06-1988,F,1,3,1031.0,1,3984.63,1.0,1,1,4429.88862244898
266804,14-07-1979,M,10,3,484.0,1,1588.99,3.0,1,1,5076.74070967742
266805,07-01-1976,F,8,0,,1,4623.32,,1,1,
266806,08-12-1991,F,10,3,815.0,6,20229.24,2.0,3,4,12267.26375
266807,13-09-1988,M,4,3,882.0,4,5816.72,2.0,2,2,8173.856144781144
266809,26-02-1980,F,3,0,970.0,5,14995.95,1.0,3,3,11681.718588039868
266810,16-08-1981,F,3,1,943.0,5,19846.9,1.0,3,4,11681.718588039868
266812,26-11-1982,M,5,3,,2,1256.39,,1,1,
266813,21-04-1988,F,9,3,,1,1037.6,,1,1,
266814,18-10-1982,F,9,3,548.0,5,12167.16,3.0,3,3,12095.5816
266815,07-08-1973,F,4,3,664.0,3,7599.09,2.0,1,2,4884.636892655367
266816,15-11-1974,M,6,3,360.0,6,11201.39,4.0,3,3,12185.951431034482
266817,28-10-1980,F,5,0,,3,3102.84,,1,1,
266818,08-10-1981,F,2,3,542.0,5,8543.86,3.0,3,2,12095.5816
266819,22-07-1982,M,8,1,573.0,3,7434.44,3.0,1,2,5076.74070967742
266820,16-04-1978,F,5,2,304.0,4,8095.23,4.0,2,2,8503.386485355648
266821,27-12-1991,M,5,3,,3,2183.48,,1,1,
266822,20-09-1970,F,9,1,696.0,10,27636.05,2.0,4,4,19073.41199367089
266823,03-06-1986,M,3,3,458.0,3,8983.65,3.0,1,2,5076.74070967742
266824,04-06-1973,M,7,3,632.0,4,6070.87,3.0,2,2,8499.556146616542
266825,21-11-1992,F,8,2,821.0,4,12042.29,2.0,2,3,8173.856144781144
266827,04-11-1977,F,7,0,32.0,6,12530.7,4.0,3,3,12185.951431034482
266829,25-06-1976,F,4,2,545.0,3,9171.5,3.0,1,2,5076.74070967742
266830,13-05-1985,M,1,0,751.0,3,13063.31,2.0,1,3,4884.636892655367
266831,08-10-1978,M,6,3,305.0,2,1661.92,4.0,1,1,5121.214583333333
266833,09-03-1990,F,7,3,1149.0,3,2320.5,1.0,1,1,4429.88862244898
266835,16-02-1987,F,1,3,846.0,3,7521.73,2.0,1,2,4884.636892655367
266836,21-11-1973,F,7,3,761.0,4,11082.05,2.0,2,3,8173.856144781144
266838,14-11-1974,M,4,3,848.0,1,2844.27,2.0,1,1,4884.636892655367
266841,02-03-1991,M,1,3,277.0,7,26939.9,4.0,4,4,18744.19980232558
266842,15-05-1984,F,1,1,448.0,3,5257.59,4.0,1,1,5121.214583333333
266843,02-01-1987,F,5,3,92.0,6,12376.0,4.0,3,3,12185.951431034482
266844,03-10-1986,M,5,0,,2,9559.35,,1,2,
266845,19-05-1990,F,1,2,,4,6362.59,,2,2,
266846,24-04-1979,M,2,1,540.0,5,22136.47,3.0,3,4,12095.5816
266847,24-01-1990,F,7,3,420.0,2,3240.97,4.0,1,1,5121.214583333333
266848,07-10-1987,F,10,3,1088.0,1,1255.28,1.0,1,1,4429.88862244898
266849,12-10-1979,M,1,3,,2,12713.02,,1,3,
266851,28-09-1986,M,8,3,543.0,2,6618.95,3.0,1,2,5076.74070967742
266852,15-01-1990,M,5,0,701.0,7,8079.76,2.0,4,2,19073.41199367089
266853,18-09-1990,M,6,1,484.0,4,8822.32,3.0,2,2,8499.556146616542
266854,04-09-1971,M,5,1,486.0,5,12130.69,3.0,3,3,12095.5816
266855,16-06-1972,M,10,2,1150.0,4,12875.46,1.0,2,3,8677.30678694158
266856,11-10-1985,M,1,2,,4,10622.36,,2,3,
266857,18-09-1985,F,1,2,1093.0,6,15045.68,1.0,3,3,11681.718588039868
266858,25-02-1987,M,1,2,667.0,2,6411.21,2.0,1,2,4884.636892655367
266860,18-07-1991,F,3,2,606.0,2,10028.98,3.0,1,3,5076.74070967742
266861,14-12-1978,M,7,3,,1,5502.9,,1,1,
266862,24-04-1970,F,5,0,1278.0,4,12750.59,1.0,2,3,8677.30678694158
266863,17-11-1972,M,6,0,510.0,4,5543.78,3.0,2,1,8499.556146616542
266864,08-05-1991,F,3,2,548.0,6,19831.44,3.0,3,4,12095.5816
266865,15-09-1984,M,9,0,755.0,5,18380.57,2.0,3,4,12267.26375
266866,18-04-1974,M,4,3,,2,2819.96,,1,1,
266867,24-11-1980,F,9,3,1117.0,4,11668.8,1.0,2,3,8677.30678694158
266870,21-05-1984,F,7,2,635.0,4,5357.04,3.0,2,1,8499.556146616542
266872,24-07-1985,F,1,2,1390.0,2,3879.66,1.0,1,1,4429.88862244898
