cust_id,recency,frequency,monetary,R,F,M,RFM_Segment_Concat,RFM_Score,RFM_Level,Avg_M
266831,305.0,2,1661.9199999999998,4,1,1,4.01.01.0,6,Potential,5121.214583333333
266842,448.0,3,5257.59,4,1,1,4.01.01.0,6,Potential,5121.214583333333
266847,420.0,2,3240.9649999999997,4,1,1,4.01.01.0,6,Potential,5121.214583333333
266934,365.0,2,4722.77,4,1,1,4.01.01.0,6,Potential,5121.214583333333
266978,396.0,2,821.015,4,1,1,4.01.01.0,6,Potential,5121.214583333333
266980,419.0,1,4836.585,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267046,389.0,2,4685.2,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267139,386.0,3,3515.0049999999997,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267178,362.0,2,4287.4,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267193,426.0,2,5202.34,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267263,277.0,2,1818.83,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267308,362.0,2,3239.8599999999997,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267339,419.0,2,4391.2699999999995,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267413,447.0,3,5359.25,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267441,391.0,1,2373.54,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267476,361.0,1,4393.48,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267536,2.0,3,4068.61,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267929,336.0,2,3380.195,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267931,394.0,2,3023.2799999999997,4,1,1,4.01.01.0,6,Potential,5121.214583333333
267979,448.0,2,5363.67,4,1,1,4.01.01.0,6,Potential,5121.214583333333
268102,365.0,2,3226.6000000000004,4,1,1,4.01.01.0,6,Potential,5121.214583333333
268170,386.0,1,2784.6,4,1,1,4.01.01.0,6,Potential,5121.214583333333
268240,425.0,2,3773.5750000000003,4,1,1,4.01.01.0,6,Potential,5121.214583333333
268386,93.0,2,1993.42,4,1,1,4.01.01.0,6,Potential,5121.214583333333
268489,124.0,2,4568.07,4,1,1,4.01.01.0,6,Potential,5121.214583333333
268677,358.0,2,5186.87,4,1,1,4.01.01.0,6,Potential,5121.214583333333
268752,419.0,2,3635.4500000000003,4,1,1,4.01.01.0,6,Potential,5121.214583333333
268801,62.0,1,3787.94,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269340,426.0,2,980.135,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269382,425.0,2,4033.25,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269507,418.0,2,5028.855,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269527,184.0,1,760.24,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269630,426.0,2,5013.385,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269741,154.0,1,544.765,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269764,356.0,2,4534.92,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269786,276.0,2,2707.25,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269855,423.0,2,4992.39,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269857,417.0,2,2555.865,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269978,363.0,2,1878.5,4,1,1,4.01.01.0,6,Potential,5121.214583333333
269996,63.0,2,1464.125,4,1,1,4.01.01.0,6,Potential,5121.214583333333
270040,421.0,1,4654.26,4,1,1,4.01.01.0,6,Potential,5121.214583333333
270067,424.0,1,1097.265,4,1,1,4.01.01.0,6,Potential,5121.214583333333
270317,397.0,2,1843.1399999999999,4,1,1,4.01.01.0,6,Potential,5121.214583333333
270403,366.0,2,3502.8500000000004,4,1,1,4.01.01.0,6,Potential,5121.214583333333
270522,390.0,2,3053.1150000000002,4,1,1,4.01.01.0,6,Potential,5121.214583333333
270538,388.0,2,3717.2200000000003,4,1,1,4.01.01.0,6,Potential,5121.214583333333
270696,360.0,2,1438.71,4,1,1,4.01.01.0,6,Potential,5121.214583333333
270726,423.0,2,2018.835,4,1,1,4.01.01.0,6,Potential,5121.214583333333
271115,422.0,2,5336.045,4,1,1,4.01.01.0,6,Potential,5121.214583333333
271431,387.0,2,4831.0599999999995,4,1,1,4.01.01.0,6,Potential,5121.214583333333
271474,304.0,2,1529.32,4,1,1,4.01.01.0,6,Potential,5121.214583333333
271494,215.0,1,2470.78,4,1,1,4.01.01.0,6,Potential,5121.214583333333
271525,428.0,2,3972.475,4,1,1,4.01.01.0,6,Potential,5121.214583333333
271546,386.0,1,2668.575,4,1,1,4.01.01.0,6,Potential,5121.214583333333
271655,305.0,1,4773.6,4,1,1,4.01.01.0,6,Potential,5121.214583333333
271692,185.0,2,4496.245,4,1,1,4.01.01.0,6,Potential,5121.214583333333
271724,277.0,1,2974.66,4,1,1,4.01.01.0,6,Potential,5121.214583333333
271877,336.0,2,2022.15,4,1,1,4.01.01.0,6,Potential,5121.214583333333
272028,124.0,2,5370.299999999999,4,1,1,4.01.01.0,6,Potential,5121.214583333333
272190,421.0,2,3509.48,4,1,1,4.01.01.0,6,Potential,5121.214583333333
272364,427.0,1,872.95,4,1,1,4.01.01.0,6,Potential,5121.214583333333
